,Player,Contract Years Left
984,Emre Mor,1
985,Santi Mina,3
986,Iago Aspas,2
987,Patrick Sequeira,1
988,Joseph Aidoo,3
989,David Juncà,1
990,Renato Tapia,3
991,Miguel Baeza,4
992,Hugo Sotelo,fail
993,Okay Yokuslu,2
994,Fernando Pacheco,2
995,Antonio Sivera,1
996,Fabrice Ondoa,3
997,Florian Lejeune,3
998,Víctor Laguardia,1
999,Tachi,2
1000,Rubén Duarte,2
1001,Saúl García,2
1002,Javi López,2
1003,Martín Aguirregabiria,1
1004,Ximo Navarro,1
1005,Carlos Isaac,2
1006,Pere Pons,1
1007,Mamadou Loum,1
1008,Tomás Pina,1
1009,Toni Moya,2
1010,Manu García,1
1011,Iván Martín,1
1012,Luis Rioja,2
1013,Facundo Pellistri,1
1014,Edgar Méndez,1
1015,Joselu,1
1016,Lucas Pérez,1
1017,John Guidetti,1
1018,Taichi Hara,2
1019,Antonio Sivera,1
1020,Tachi,2
1021,Javi López,2
1022,Toni Moya,2
1023,Facundo Pellistri,1
1024,Taichi Hara,2
1025,Aitor Fernández,2
1026,Dani Cárdenas,1
1027,Koke Vegas,1
1028,Rúben Vezo,3
1029,Rober Pier,2
1030,Sergio Postigo,2
1031,Óscar Duarte,1
1032,Carlos Clerc,1
1033,Enric Franquesa,4
1034,Jorge Miramón,1
1035,Son,3
1036,Coke,1
1037,Mickaël Malsa,3
1038,Pepelu,1
1039,Nemanja Radoja,1
1040,Nikola Vukcevic,1
1041,José Campaña,2
1042,Gonzalo Melero,2
1043,Pablo Martínez,3
1044,Enis Bardhi,1
1045,Jorge de Frutos,4
1046,Hernâni,1
1047,Roger Martí,3
1048,José Luis Morales,2
1049,Dani Gómez,4
1050,Sergio León,1
1051,Roberto Soldado,2
1052,Dani Cárdenas,1
1053,Enric Franquesa,4
1054,Jorge Miramón,1
1055,Nemanja Radoja,1
1056,Pablo Martínez,3
1057,Alejandro Cantero,2
1058,Yoel Rodríguez,3
1059,Ander Cantero,3
1060,Esteban Burgos,1
1061,Anaitz Arbilla,2
1062,Frederico Venâncio,3
1063,Xabi Etxeita,1
1064,Toño García,1
1065,Cristian Glauder,2
1066,Álvaro Tejero,3
1067,Rober Correa,3
1068,Edu Expósito,3
1069,Sergio Álvarez,1
1070,Óscar Sielva,3
1071,Javi Muñoz,2
1072,Roberto Olabe,2
1073,Miguel Atienza,2
1074,Stoichkov,3
1075,Ager Aketxe,2
1076,Yanis Rahmani,4
1077,José Corpas,3
1078,Franchu,3
1079,Quique González,3
1080,Fran Sol,1
1081,Gustavo Blanco Leschuk,1
1082,Ángel Troncho,1
1083,Esteban Burgos,1
1084,Miguel Atienza,2
